Review,Liked
"Enjoy, Best $20.00 ever spent!!!",1
Game changer,1
SAVED MY SKIN,1
"Love it, cheaper at Walmart",1
Vitamin c DOES work well with retinol,1
Definitely recommend,1
Worth it!,1
40yrs old but look 30 thanks to your VitaminC Serum,1
Dried out skin!,0
PLEASE DON'T BUY. This will destroy your natural balance if you have great skin to begin with.,0
Unbelievable! 43 and baby-faced!,1
This product is awesome!,1
Amazing results & skin brightening!,1
TruSkin Naturals Vitamin C Serum is a MUST Try!!!,1
Good product.,1
Absolutely addicted to this serum,1
One week in and I'm sold.  Before and after photo posted,1
I wasn’t even putting it on my eyes and they puffed up and became super itchy and irritated,0
This product is for real and actually works...I'm a real person not a paid review or someone from the company!,1
PLEASE READ!! for those with QUESTIONS about the COLOR.,1
I was hoping to reduce the constant redness and get rid of the little bumps and fine lines popping up on this 40 year old face,1
Amazing!,1
Excellent Skin Serum and Formulation,1
"It's true, it's really true!!",1
Vitamin C...essential for a good skin care regimen.,1
BUYER BEWARE....,0
My skin is beautiful,1
This product works!,1
Amazing!,1
Important part of my regimen!,1
HOLY GRAIL,1
Not for me! UPDATED 9/19/18,0
ABSOLUTELY WONDERFUL!!!,1
You will GLOW!!!,1
I never leave reviews but this had to be shown!,1
Perfection in a bottle,1
So far so good..only used for 2 weeks,1
... C serum for her after she told me how good it was for you skin,1
"This product is excellent, brightens your skin without drying it.",1
AMAZING PRODUCT,1
Smells,1
Finally something amazing!,1
Don't hesitate!,1
Evens skin tone better than any other product I've ever used!,1
Worth it for sure.,1
"Cloudy serum caused acne, red itchy skin, and irritation around eyes",0
Not much of an improvement in skin,0
Wow....just wow!!,1
Give this a try!,1
and this is my favorite one. It is thicker and stays on your ...,1
"Producto recomendado, realmente funciona",1
Lightened cystic acne scars effectively,1
I love these products!,1
YOU NEED THIS ON YOUR FACE!,1
So far so good,1
Update,1
Just what my sensitive skin needed!,1
Really does work,1
IT WORKS!!!,1
Best $20 product EVER,1
Real life filter,1
"Smaller Pores, brighter skin",1
Best serum in the world!,1
"This TruSkin Vitamin C Serum for Face with Hyaluronic Acid, Vitamin E, Witch Hazel, 1 fl oz",1
Better than high end brands!,1
Sold!,1
Waste of money !!,0
El mejor producto,1
Love it!,1
I noticed results in 2 weeks,1
WHO SAYS NO TO VITAMIN C?,1
Excelente.,1
"Works wonders on pores and sebaceous filaments (aka grey ""dots"" on nose and checks)",1
"I’ve tried EVERYTHING. (Including accurate, TWICE)",1
made my acne rage.,0
Amazing,1
Consistent performer!,1
This beauty serum REALLY works!,1
I've Been a Repeat Customer for Years!,1
I got hit on today...ha ha,1
Clearer Skin Tone,1
Wow!  It really works,1
I look ALIVE again!!!,1
My skin got worse and....TruSkin came to the rescue!,1
Glad I found this and it's not making me poor,1
Great deal!,1
New product is not like the old product.,0
This is the holy grail ladies,1
I am honestly blown away,1
My skin feels so smooth!,1
This stuff really does work!,1
It works!,1
Not good for me,1
Ok but the way this SAVES MY SKIN,1
Good results so far,1
Absolutely Amazing Products Which Actually Work!,1
Changed my skin care routine,1
Awesome Customer Service,1
Made skin worse!,0
Just as good as the big name brands,1
Best Dark Spot Remover Serum for Face,1
Lovely Product! So Glad I Tried It!,1
I tried it for 1 week and it really works!,1
UPDATED BELOW Didn't get more than a few applications,1
Great quality serum 4 sensitive skin,1
Great!!!,1
Ingredients beware!!!!,0
I actually feel better about showing my real face!,1
So far I am happy with my results,1
Full Disclosure - I am 65 years old and genetically do not have a wrinkles or sagging . . . but,1
Love this product!!,1
This male Likes it!!!! Works for me!,1
Younger looking skin,1
"Great serum, great results!",1
Turned my entire forehead and cheeks red and blustery.,0
Defective?,0
Great serum,1
Very effective  I am not using edit or filter for my picture anymore,1
Magic serum!,1
This saved my skin!,1
AMAZING and entirely necessary product for dry skin! Please read the tips first & you’ll love it!!,1
Revives the skin!,1
I can feel and see a difference,1
"My super long, honest , unpaid review :)",1
Great product and amazing customer service!,1
Buy it! Your face will thank you!,1
Holy grail,1
A miracle!!,1
"Perfect for my 48yr old, sensitive face",1
Healthier Look,1
"High Quality, Affordable skin care!!!",1
My face and pocketbook loves this serum,1
Finally a product that works,1
Love this anti-aging serum,1
Leaving Skin With a Beautiful Glow!!!,1
Improvement visible,1
I've also noticed a reduction in fine lines and wrinkles,1
I walk with confidence,1
True to the Skin,1
Completely blown away...and it hasn't even been a week yet!,1
"Wait, this actually works!",1
Worth the price,1
Update.........great customer service!!!,1
See the GLOW!,1
Wow!!,1
Great Stuff,1
Just buy it,1
their eyes did not look as good as mine,1
Really works,1
Not for sensitive skin ( EDITED ),1
Works Well on My Very Senstive Skin & Glows!!,1
I'm pretty skeptical about any facial products,1
UPDATE: 01/13/2019 Excellent Customer Service,1
TruSkin's Customer Service is amazing,1
great product!,1
For Dark Spots and Wrinkles,1
Glad I found this!,1
Great for combo skin - wish you got more of it for the money,1
The Fountain of Youth in Florida,1
Beginning to work,1
"Get it, it's good.",1
This worked for me but the ingredients are a bit suspect.,1
One size does not fit all.....but it can,1
Works for dark spots,1
I started the product at the end of April and I have finally started to see results and I am in love! My face is clearer,1
To be honest...,1
"Loved before, this bottle has weird smell.",1
"Didn't work for me, but this company has phenomenal customer service.",1
TruSkin Vitamin C works!,1
Changed my skin!,1
TruSkin Vitamin C Serum - In just a few days has done wonders for my skin texture and tone!,1
Game Changer!,1
Amazing product for travelers,1
Visible difference in days,1
"Brighter, smoother and calmer skin-helps my acne",1
Repeat purchase,1
Great results!,1
Brightening,1
So far really happy,1
Adult Acne Decreased + Scars Decreasing,1
So happy this worked!,1
Not for me but AMAZING customer service,1
Great at clearing spots on face,1
Waooo,1
EXCELLENT COMPANY: NOW HAS LOYAL CUSTOMER FOR LIFE,1
Best $20 you’ll spend for your skincare routine!,1
Magic,1
Amazing stuff!!!,1
Eh,1
Best Vitamin C Serum!~has reduced dark circles under eyes!,1
Exemplary customer service; exemplary product,1
Excellent for appearance and health of face,1
Noticed a difference.,1
Works great to brighten skin and even texture,1
Miracle Skincare!,1
I no longer  wear foundation!,1
"Wow, just look at me now!",1
LOOOOOOOOOOOOVE,1
Wonderful,1
Awesome Customer Service,1
Very pleased,1
Just ordered second bottle.,1
Not for me but a good company and good products,1
Works great but dries my skin out,1
Magnificent. I’m hooked,1
Great Customer Service!!,1
Best Vitamin C serum out there!,1
Good quality serum at a great price!!,1
It pays for itself after a few days,1
Love this serum and this company,1
Helps with brown splotches (aka senile purpura) on arms,1
Works like magic for Acne,1
Angelic skin treatment,1
"The hype is real, y'all",1
Really really works,1
No gimmicks- really works .. I’m sold,1
Best customer care out there!,1
Love it,1
Awesome product!,1
Felt quality of skin improve in less than a week.,1
Keeps me photo ready!,1
Yes!!!,1
Fantastic,1
I truly felt the difference,1
Works for me,1
I keep buying this stuff,1
Love this skincare line! Great results!!!,1
Great addition to my skincare routine!,1
Great for acne marks/scars!! P.S. cloudy serum is OK!!,1
I’m in love!,1
Great discovery!,1
AMAZING PRODUCT,1
It’s good for all skin types.,1
Excellent customer service!,1
wow!  this works!!,1
This actually works!,1
I'm impressed,1
Great product.,1
So far so great!,1
Great Product,1
This TruSkin works great on my skin. Lighter age spots and healthy looking skin,1
This is a life-changer.,1
This product is amazing! It only took two weeks for me to ...,1
"Prone to Red Patchiness/Flare-ups, Seeing Results After a Month, Highly Recommend!",1
Tighter skin - younger looking apperance,1
Worth every penny!,1
"Skincare, game changing product! A Must have!",1
best $20 ever spent,1
Just as advertised.,1
It works!,1
I wish I had taken before and after photos!,1
This serum is excellent,1
I can't be without it.,1
The skin hydration and elasticity boosting is real,1
My Holy Grail!!!,1
Must get,1
Can't live without it!,1
Buy it!,1
"Honestly, it’s good.",1
Magic potion,1
Nice serum,1
This freaking works!,1
Customer service is amazing!,1
Works for Asian oily combination skin,1
Great!,1
5 stars for amazing customer service!,1
"Excellent Customer Service!!!Disappointing product, possibly a knock off.",1
Quick Results,1
My skin is glowing!,1
Tru Skin Naturals truly cares about their customers,1
Really Worked for Me,1
Adding this to my regimen!,1
Great C Serum!,1
Stellar customer service,1
That this product really works!!!,1
Absolutely love it!,1
"A must buy, even helps with dark circles! I swear",1
This company truly cares about their customers,1
Best skin product all around!,1
Best vit C serum out there (and I tried a few..),1
Works wonders very pleased!,1
"Bright skin, even tone, soft skin!",1
Worth the hype,1
Great for Value,1
HOLY GRAIL OF FACE PRODUCTS,1
Great for mask-ne!!,1
Skin sensitivity,1
Black men this serum works!,1
The bottle is defective,1
This is a Wonder Serum,1
Love it for oily skin,1
"IMO, better than Retin-A and Prescription Hydroquinone",1
This product works!!,1
Best serum ever!!,1
Best serum I’ve ever bought,1
Life Changing,1
Great product and great price!,1
Glowing reviews,1
Can't believe it actually works!,1
Excellent customer service,1
This truly does work!!,1
Very promising!,1
"Excellent Customer Service, Great Product!",1
Vitamin C Serum Makes a Difference!,1
"Instantly notice a difference, and very happy with the customer service",1
Great Serum,1
My skin is 9/10 flawless!,1
Overall: good buy.,1
Super helpful with acne and scarring,1
"Lightweight, great results within a month",1
Great serum!,1
Love it..... but,1
My skin is silky smooth!,1
mira-C-le serum,1
Best selling C serum,1
Absolutely love this serum!,1
Makes my skin baby smooth,1
Baggy Eyes with Dark Circles GONE!,1
I look like I could have foundation on when I really don't,1
Just Buy It,1
"I've tried Timeless, Banish, Seoul Ceuticals, and many other vitamin c brands",1
{UPDATE} A Change of Heart...,1
Amazing Customer Service!,1
"Decided to take a plunge, wasn't disappointed",1
Skin has improved.,1
"Lightweight, Brightening, & Amazing",1
New favorite product,1
Brightens and softens!! Must have in my skincare.,1
Recommended!,1
The BEST,1
Perfect for Acne-Prone and Aging Skin,1
So far I like it a lot.,1
MUST BUY - AMAZING SKIN CARE PRODUCT AND DELIVERS RESULTS,1
TruSkin: The Better Skin Option,1
WHAT!,1
After 2 weeks decreased my wrinkles and significantly brightened my skin,1
Amazing.,1
"Excellent, definitely see the improvement",1
Loved this serum!,1
Good for the price. Read below.,1
MAGIC IN A BOTTLE,1
Enjoying it so far!,1
TruSkin is the best!!,1
A forever customer!!!,1
Dramatically improved my African-American medium brown skin,1
This is magic!,1
WOW FACTOR - in exponential form!,1
Exceeded my expectations,1
Get it. Get it RIGHT NOW!!,1
Brightened and revived dull skin,1
I’ll be reordering this product!,1
Works well!,1
Don’t be afraid to try something new!,1
Amazing for dark spots!,1
Glad to find this!,1
So happy I made this purchase,1
What crepy neck?,1
This product is amazing,1
A must have!,1
This stuff works wonders.,1
Blown away with the products AND customer service! HOOKED FOR LIFE,1
Miracle in a bottle,1
So far this has been awesome,1
Much needed serum!,1
Excellent product,1
Best product ever,1
I absolutely love this,1
Wonderful Customer Service,1
Awesome Product - Awesome Company,1
Best ever!,1
Not for me,1
"Brighter, smoother and softer skin",1
Second Review-Still The Best Vitamin C Product I Have Used!,1
Add to cart. Now. 5 Stars,1
It is working!!!!,1
It's Working!,1
Great product.  Highly recommend.,1
Customer service is above and beyond!!!!,1
Glad I added this to my routine.,1
I like it,1
Love it. I bought for my teenagers too,1
Helped with Melasma & Hyperpigmentation,1
Glowy and even skin!,1
It works for dry skin,1
Second time purchasing,1
Big difference,1
I think it’s a good product!,1
It is helping to smooth out skin tone.,1
Magical hyperpigmentation reduction!,1
Skin looks radiant,1
my face never felt better. It was well hydrated and the oil in ...,1
amazing stuff!,1
Try their products...,1
Love it,1
I'm in love,1
Leaves my skin feeling firm,1
I can see a difference already!,1
Five Stars,1
Purchased for stretchmarks but it cured hyperpigmentation,1
Life changer,1
Very Good Product!!,1
Lovely product and customer service,1
New review: from happy to happier.,1
Love this brand,1
Nice Addition to Your Routine,1
Great Vitamin C!,1
"Phenomenal, especially at this price!",1
Effective and Definitely Affordable Vitamin C Serum,1
love it 😊,1
"Great product, great company!",1
"2 weeks in, and so far so good",1
Add this to your skin care routine!,1
A must have,1
Love!,1
Show your skin some love,1
UPDATED! : Original title: Absolutely wonderful product; I just wish it was all there!,1
Works.,1
Amazing Product and Awesome Customer Service!,1
Truly amazing results,1
Seems to make a difference,1
and I am very pleased with what I am seeing so far,1
Ordering again,1
Fading spots!,1
Recommend,1
This is a great company!,1
Trying to fade sunspots and acne scars,1
YES,1
essential part of skin care routine!!,1
The TruSkin Naturals products are simply AMAZING!! I have been using them for just ...,1
"Helped Redness, Pore Size, + Sun Spots!",1
Its working..,1
Great product!,1
It really works the way they say it does,1
"Tightens, Plumps, Smoothes",1
I love TruSkin Vitamin C Serum,1
Works well and customer service great!,1
Two weeks in and loving it!,1
Works great on black women,1
Works for me!!,1
Black girl holy grail,1
Miracle,1
Not if you’re looking for hydrating,1
WOW!  this made a big difference for me!,1
My face is so soft,1
I'm a Believer!!!,1
Must try,1
Brilliantly & Beautifully Surprised,1
Vitamin c,1
